Dates,Hydrologicalparameters,Rainfall_mm,temp_min_deg C,temp_max_deg C,Evapotranspiration_mm,Date_weekly,Current_year_storage_BCM_bht,Current_year_storage_BCM_Nir,Current_year_storage_BCM_Total,Date_monthly,Surface_Soil _Moisture_mm_10cm_FLDAS,Root_zone_soil_moisture_mm_FLDAS,Total_Runoff_mm_FLDAS,,,Date_8,Evapotranspiration_ Eta_mm_MODIS_MOD16A2
01-01-2020,Rainfall_mm,0,14.8701,28.8218,15.07,02-Jan-20,0.655,0.33,0.985,01-01-2020,20.83,316.6,0.35,,,01-01-2020,15.07
02-01-2020,Evapotranspiration_mm,0,16.3731,29.0454,15.07,09-Jan-20,0.648,0.329,0.977,01-02-2020,17,289.2,0.19,,,09-01-2020,10.84
03-01-2020,Root_zone_soil_moisture_mm_FLDAS,0,16.0426,27.8055,15.07,16-Jan-20,0.625,0.328,0.953,01-03-2020,15.86,267.44,0.15,,,17-01-2020,10.49
04-01-2020,Total_Runoff_mm_FLDAS,0,14.2491,26.2674,15.07,23-Jan-20,0.605,0.327,0.932,01-04-2020,18.26,255.6,0.83,,,25-01-2020,10.87
05-01-2020,Current_year_storage_BCM_Total,0,14.7982,28.0299,15.07,30-Jan-20,0.573,0.326,0.899,01-05-2020,19.65,248.12,0.22,,,02-02-2020,10.01
06-01-2020,,0,16.4355,30.306,15.07,06-Feb-20,0.536,0.314,0.85,01-06-2020,36.44,345.36,60.2,,,10-02-2020,8.29
07-01-2020,,0,18.0941,30.8676,15.07,13-Feb-20,0.517,0.3,0.817,01-07-2020,41.85,423.55,210.57,,,18-02-2020,6.55
08-01-2020,,0,19.3824,29.2354,15.07,20-Feb-20,0.495,0.286,0.781,01-08-2020,41.81,427.74,168.31,,,26-02-2020,6.66
09-01-2020,,0,16.8166,28.3889,10.84,27-Feb-20,0.477,0.271,0.748,01-09-2020,41.97,426.31,155.93,,,05-03-2020,8.57
10-01-2020,,0,16.0715,27.991,10.84,05-Mar-20,0.474,0.256,0.73,01-10-2020,41.11,420.3,126.32,,,13-03-2020,5.25
11-01-2020,,0,17.2838,29.6621,10.84,12-Mar-20,0.473,0.242,0.715,01-11-2020,34.91,375.46,6.57,,,21-03-2020,6.08
12-01-2020,,0,17.1833,29.606,10.84,19-Mar-20,0.463,0.226,0.689,01-12-2020,27,329.54,1.02,,,29-03-2020,3.33
13-01-2020,,0,17.5164,29.7193,10.84,26-Mar-20,0.442,0.213,0.655,,,,,,,06-04-2020,4.32
14-01-2020,,0,16.9684,29.4731,10.84,01-Apr-20,0.416,0.197,0.613,,,,,,,14-04-2020,2.3
15-01-2020,,0,16.4839,28.7998,10.84,02-Apr-20,0.416,0.197,0.613,,,,,,,22-04-2020,6.3
16-01-2020,,0,15.161,26.6238,10.84,08-Apr-20,0.395,0.184,0.579,,,,,,,30-04-2020,5.23
17-01-2020,,0,11.863,27.0375,10.49,09-Apr-20,0.395,0.184,0.579,,,,,,,08-05-2020,3.62
18-01-2020,,0,13.4137,29.2944,10.49,15-Apr-20,0.379,0.174,0.553,,,,,,,16-05-2020,8.13
